"","query_code","fuc","fuc_2","lat","long","sheet_no","sheet_no_2","mb_note_no","mb_comment","comment_1","comment_2","comment_3","description_M","description_updated","category"
"143",143,2300004,NA,NA,NA,NA,NA,123,"Small building now residential. Building to west to check. Studio or residential? Answer: Don't understand comment - spaces round here are resi or industrial arches",NA,NA,NA,"Wood workshop- Furniture","Wood workshop- Furniture","FUCs descriptions checked"
"144",144,1069,NA,NA,NA,NA,NA,124,"All this is residential, pre 2008, including northern part. Answer:  FUC MISSING","NO FUC IN M","Create new entry in ""Oct 2018_M"" with appropriate description, and draw associated polygon.",NA,"Residential","Residential","FUCs queries"
"145",145,NA,NA,51.481639,-0.094975,NA,NA,124,"All this is residential, pre 2008, including northern part. FUC MISSING","NO FUC IN M? to check","FUC absent from polygon, check with the catalog and check whether it's resi in the description.",NA,NA,NA,"FUCs queries"
"146",146,1092,NA,NA,NA,NA,NA,125,"Conversion happened before 2008, but to check for any industrial use. There is a thin chance",NA,"confirmed online",NA,"Settlement of disputes","Office","FUCs descriptions checked"
"147",147,1091,NA,NA,NA,NA,NA,125,"Conversion happened before 2008, but to check for any industrial use. There is a thin chance.",NA,"Clarify description 'paintings'",NA,"Paintings","Paintings","FUCs queries"
"148",148,NA,NA,51.48093,-0.095168,"23","24",126,"Isn’t industrial arch use all the way to Bethwin Road? Include large yard.","Ask surveyor of sheet if industrial extends to Bethwin Rd",NA,NA,NA,NA,"lat/long new FUC required"
"149",149,NA,NA,51.481072,-0.094069,"23",NA,127,"Crystal Dry Cleaners and Laundry.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"150",150,1087,NA,NA,NA,NA,NA,128,"Church in 2008 and still is. Answer: Beauty salon frontage, but poster for church - could be to rear. 
",NA,"Edit by splitting polygon and creating new FUC from parent FUC in M for each.",NA,"Beauty Salon","Beauty Salon/church","FUCs queries"
"151",151,1061,NA,NA,NA,NA,NA,129,"Iceland in 2008 and still is.",NA,NA,NA,"Frozen food sales","Frozen food sales","FUCs descriptions checked"
"152",152,10640003,NA,NA,NA,NA,NA,130,"To clarify what’s going on with these arches, and how accessed.",NA,"Check with surveyor. If not conclusive, desktop (first) then on site survey (if desktop unsuccessful) to check info",NA,"vacant","vacant","FUCs queries"
"153",153,10640009,NA,NA,NA,NA,NA,130,"To clarify what’s going on with these arches, and how accessed.",NA,"Check with surveyor. If not conclusive, desktop (first) then on site survey (if desktop unsuccessful) to check info",NA,"vacant","vacant","FUCs queries"
"154",154,1076,NA,NA,NA,NA,NA,131,"What use is this?",NA,NA,NA,"Hotel + restaurant","Hotel + restaurant","FUCs descriptions checked"
"155",155,1081,NA,NA,NA,NA,NA,132,"Site cleared 2014 and residential development started 2015. No industrial remains.",NA,NA,NA,"development","development","FUCs descriptions checked"
"156",156,1081,NA,NA,NA,NA,NA,133,"Check on status of arches. Is there access? Answer: presumably not as under development",NA,NA,NA,"development","development","FUCs descriptions checked"
"157",157,2400001,NA,NA,NA,NA,NA,134,"Check yard extent and include.",NA,NA,NA,"Car repair and Maintenance","Car repair and Maintenance","FUCs simple polygon edits needed"
"158",158,2400002,NA,NA,NA,NA,NA,134,"Check yard extent and include.",NA,NA,NA,"Car repair","Car repair","FUCs simple polygon edits needed"
"159",159,2400003,NA,NA,NA,NA,NA,134,"Check yard extent and include.",NA,NA,NA,"Car repairs","Car repairs","FUCs simple polygon edits needed"
"160",160,2400004,NA,NA,NA,NA,NA,134,"Check yard extent and include.",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"161",161,NA,NA,51.47749,-0.095535,"25",NA,135,"Check for more industrial in arches, and check and show yards.","Ask if checked - desktop Google streetview check & possible new onsite survey",NA,NA,NA,NA,"lat/long new FUC required"
"162",162,1113,NA,NA,NA,NA,NA,136,"Nags Head pub, was never industrial.",NA,NA,NA,"Pub","Pub","FUCs descriptions checked"
"163",163,1107,NA,NA,NA,NA,NA,137,"Was bingo, now a church. Not industrial.",NA,NA,NA,"Religious activities","Religious activities","FUCs descriptions checked"
"164",164,NA,NA,51.476946,-0.095602,"25",NA,138,"Check on industrial use in arches, and yards.","Ask if checked - desktop Google streetview check & possible new onsite survey",NA,NA,NA,NA,"lat/long new FUC required"
"165",165,1088,NA,51.475809,-0.096069,NA,NA,139,"Looks like the arches may be part of the bus garage. To check & redraw polygons as required.
",NA,NA,NA,NA,NA,"FUCs simple polygon edits needed"
"166",166,1080,NA,NA,NA,NA,NA,140,"This corner building redeveloped as housing 2014.",NA,"confirmed online",NA,"Supermarket","Supermarket","FUCs descriptions checked"
"167",167,NA,NA,51.475429,-0.094142,"26","42",141,"Bus garage entry yard.","Already shown on maps",NA,NA,NA,NA,"lat/long new FUC required"
"168",168,2600004,NA,NA,NA,NA,NA,142,"Rail arches converted to retail, I think. They got planning permission for that. To check.","confirmed with full survey or verbal check",NA,NA,"vacant","vacant","FUCs descriptions checked"
"169",169,2600005,NA,NA,NA,NA,NA,142,"Rail arches converted to retail, I think. They got planning permission for that. To check.","confirmed with full survey or verbal check",NA,NA,"vacant","vacant","FUCs descriptions checked"
"170",170,2600006,NA,NA,NA,NA,NA,142,"Rail arches converted to retail, I think. They got planning permission for that. To check.","confirmed with full survey or verbal check",NA,NA,"vacant","vacant","FUCs descriptions checked"
"171",171,2600007,NA,NA,NA,NA,NA,142,"Rail arches converted to retail, I think. They got planning permission for that. To check.","confirmed with full survey or verbal check",NA,NA,"vacant","vacant","FUCs descriptions checked"
"172",172,2600008,NA,NA,NA,NA,NA,142,"Rail arches converted to retail, I think. They got planning permission for that. To check.","confirmed with full survey or verbal check",NA,NA,"vacant","vacant","FUCs descriptions checked"
"173",173,NA,NA,51.47396,-0.097902,NA,NA,143,"Arches in industrial use, not just frontages. To check and redraw extent of railway arches using fire maps, google searches etc.","These are the relevant FUCs: 913, 920, 925, 938, 950, 966, 982, 984, 989, 992, 994, 997, 2600002, 2600001",NA,NA,NA,NA,"FUCs simple polygon edits needed"
"174",174,1060,NA,NA,NA,NA,NA,144,"Royal Mail depot includes yard.",NA,NA,"confirmed online","Bus services, garage and training","Bus services, garage and training","FUCs simple polygon edits needed"
"175",175,1143,NA,NA,NA,NA,NA,145,"There is no industrial here, as far as I can see. To check.",NA,NA,NA,"Sale of Vinyl","Sale of Vinyl","FUCs descriptions checked"
"176",176,1136,NA,51.473158,-0.094045,NA,NA,146,"Dark kitchen use extends here.","Add polygon at corner of site to FUC 1136 - refer to Mark's map as needed",NA,NA,NA,NA,"FUCs simple polygon edits needed"
"177",177,NA,NA,51.473545,-0.096455,"26","27",147,"This is now housing.","To survey site google and/or in real life & check if housing, if so, draw new polygon (may need to consult planning app)",NA,NA,NA,NA,"lat/long new FUC required"
"178",178,1046,NA,NA,NA,NA,NA,148,"Include yard.",NA,NA,NA,"Car repair","Car repair","FUCs simple polygon edits needed"
"179",179,15900001,NA,NA,NA,NA,NA,149,"Include yard.",NA,NA,NA,"Plant / tool hire","Plant / tool hire","FUCs simple polygon edits needed"
"180",180,30000010,NA,NA,NA,NA,NA,150,"Include yard.",NA,NA,NA,"Storage","Storage","FUCs simple polygon edits needed"
"181",181,NA,NA,51.449132,-0.098039,"30",NA,151,"Check for any other small industrial uses.","Check on google / on site",NA,NA,NA,NA,"lat/long new FUC required"
"182",182,998,NA,NA,NA,NA,NA,152,"Include yard.",NA,NA,NA,"Vehicle Repairs and Servicing","Vehicle Repairs and Servicing","FUCs simple polygon edits needed"
"183",183,1167,NA,NA,NA,NA,NA,153,"Not industrial. Answer: Can't work out what this is either, possibly derelict?",NA,"confirmed online",NA,"unidentified","Non-industrial","FUCs descriptions checked"
"184",184,1173,NA,NA,NA,NA,NA,153,"Not industrial.",NA,NA,NA,"Specialist off-licence for wine and champagne","Specialist off-licence for wine and champagne","FUCs descriptions checked"
"185",185,1183,NA,NA,NA,NA,NA,154,"Pub / restaurant. Not industrial.",NA,"confirmed online",NA,"Bin store for Borough Market","Bin store for Borough Market","FUCs descriptions checked"
"186",186,1189,NA,NA,NA,NA,NA,154,"Pub / restaurant. Not industrial.",NA,NA,NA,"Pub","Pub","FUCs descriptions checked"
"187",187,12220004,NA,NA,NA,NA,NA,155,"To check extent of wholesale market, yard and buildings.",NA,NA,NA,"Fruit and vegetable wholesale","Fruit and vegetable wholesale","FUCs simple polygon edits needed"
"188",188,1168,NA,NA,NA,NA,NA,156,"Stopped being industrial pre-2009.
",NA,NA,NA,"Fashion brand retailer","Fashion brand retailer","FUCs descriptions checked"
"189",189,1209,NA,NA,NA,NA,NA,157,"I don’t think there is any industrial use here, not I assume was there in 2015, but worth checking.",NA,NA,NA,"offices","offices","FUCs descriptions checked"
"190",190,NA,NA,51.503822,-0.090745,"32",NA,158,"Check here and in the area for hospital related industrial uses.","To survey site google and/or in real life & check if hospital-related industrial uses, if so, draw new FUC polygons & parcel",NA,NA,NA,NA,"lat/long new FUC required"
"191",191,1206,NA,NA,NA,NA,NA,159,"Frontage building looks like education use.",NA,NA,NA,"Art school","Art school","FUCs descriptions checked"
"192",192,11860002,NA,NA,NA,NA,NA,160,"All to check. Hard to believe that it’s industrial.",NA,NA,NA,"Event supplier","Event supplier","FUCs descriptions checked"
"193",193,12080002,NA,NA,NA,NA,NA,160,"All to check. Hard to believe that it’s industrial. Answer: COMMENT FOR WHOLE POLYGON",NA,NA,NA,"Recruitment for education sector","Recruitment for education sector","FUCs descriptions checked"
"194",194,12080005,NA,NA,NA,NA,NA,160,"All to check. Hard to believe that it’s industrial. Answer: COMMENT FOR WHOLE POLYGON",NA,NA,NA,"Internet gaming software","Internet gaming software","FUCs descriptions checked"
"195",195,NA,NA,51.500752,-0.089124,"33",NA,161,"Dry cleaners.","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"196",196,NA,NA,51.488759,-0.091034,"36",NA,162,"Southwark barrow store, I think. To check.","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"197",197,NA,NA,51.488477,-0.091167,"36","37",163,"More barrow store here, I think. To check.","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"198",198,1179,NA,NA,NA,NA,NA,164,"I think this is now office use. To check.","confirmed with full survey or verbal check",NA,NA,"Wholesale furniture & interior design","Wholesale furniture & interior design - offices and showroom","FUCs descriptions checked"
"199",199,1182,NA,NA,NA,NA,NA,165,"Ex Flints / Harker’s Studio. Vacant industrial, I suppose, though permitted as residential.
",NA,NA,NA,"Vacant","Vacant - Ex Flints / Harker’s Studio. Vacant industrial, though permitted as residential.","FUCs descriptions checked"
"200",200,619,NA,NA,NA,NA,NA,166,"Yard extents into Burgess Park. Answer: YES PARCEL NEEDS TO BE EXTENDED AGA","Extend parcel polygon as appropriate",NA,NA,"Car inspection services","Car inspection services","FUCs simple polygon edits needed"
"201",201,3900001,NA,NA,NA,NA,NA,167,"Check yard extent. Answer: YES. PARCEL NEEDS TO BE EXTENDED AGA",NA,NA,NA,"Healthcare transport services","Healthcare transport services","FUCs simple polygon edits needed"
"202",202,1247,NA,NA,NA,NA,NA,168,"Include yards.",NA,NA,NA,"Hand carwash and valeting service, service and repairs","Hand carwash and valeting service, service and repairs","FUCs simple polygon edits needed"
"203",203,627,NA,NA,NA,NA,NA,169,"Presumably now nearing completion, new self store (industrial) with skin of offices (not industrial).
Answer: Could probably be classed as development but doesn't look like much work has been started (as of Google street view March 2019)",NA,"confirmed online",NA,"demolished","demolished","FUCs descriptions checked"
"204",204,638,NA,NA,NA,NA,NA,169,"Presumably now nearing completion, new self store (industrial) with skin of offices (not industrial).
Answer: Could probably be classed as development but doesn't look like much work has been started (as of Google street view March 2019)",NA,"confirmed online",NA,"demolished","demolished","FUCs descriptions checked"
"205",205,1229,NA,NA,NA,NA,NA,170,"Include yards.",NA,NA,NA,"Surgical products Laundry","Surgical products Laundry","FUCs simple polygon edits needed"
"206",206,1231,NA,NA,NA,NA,NA,171,"Include yard.",NA,NA,NA,"Storage","Storage","FUCs simple polygon edits needed"
"207",207,1230,NA,NA,NA,NA,NA,172,"Camberwell Business Centre. I assume this is all office use, but worth checking for industrial occupiers.","confirmed with full survey or verbal check",NA,NA,"Rent workspaces","Offices - Camberwell Business Centre","FUCs descriptions checked"
"208",208,NA,NA,51.474286,-0.091033,"42",NA,173,"Artichoke Court includes some industrial occupiers. To check.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"209",209,NA,NA,51.473943,-0.091455,"42",NA,174,"Dry cleaners. To check.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"210",210,NA,NA,51.473858,-0.090906,"42",NA,175,"Bakery. To check.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"211",211,NA,NA,51.473565,-0.088587,"42",NA,176,"Seabass Cycles. Workshop here, or where? To check.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"212",212,1256,NA,NA,NA,NA,NA,177,"This is not industrial and has not been.",NA,NA,NA,"Coffee shop","Coffee shop","FUCs descriptions checked"
"213",213,1160,NA,NA,NA,NA,NA,178,"Greggs, not industrial (they are only a heat-up place, not a bakery).
Answer: Greggs is beside it","confirmed with full survey or verbal check","confirmed online",NA,"Sale of mobile phone and laptop repair","Sale of mobile phone and laptop repair","FUCs descriptions checked"
"214",214,NA,NA,51.473548,-0.090374,"42",NA,179,"Bakery to check.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"215",215,1199,NA,NA,NA,NA,NA,180,"Cowling & Wilcox art shop, not industrial.",NA,NA,NA,"Art supplies and stationery store","Art supplies and stationery store","FUCs descriptions checked"
"216",216,NA,NA,51.50295,-0.08205,"45",NA,181,"Check this area of arches for industrial. Some does remain.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"217",217,1276,NA,NA,NA,NA,NA,182,"Studios? To check. ART GALLERY MARKED AS IN EPICOLLECT AGA",NA,NA,NA,"Art Gallery","Art Gallery","FUCs descriptions checked"
"218",218,NA,NA,51.502212,-0.084492,"45",NA,182,"Studios? To check. Answer: OFFICES ALL MARKED ON EPICOLLECT AGA","NO ACTION NEEDED",NA,NA,NA,NA,"lat/long new FUC required"
"219",219,1292,NA,NA,NA,NA,NA,183,"Pub! Not industrial. MARKED AS PUB ON EPICOLLECT. AGA",NA,NA,NA,"pub","pub","FUCs descriptions checked"
"220",220,1312,NA,NA,NA,NA,NA,184,"Residential. NOT RESIDENTIAL ON THE GROUND FLOOR USED AS PRINTING SHOP. AGA","confirmed with full survey or verbal check",NA,NA,"Print shop","Print shop","FUCs descriptions checked"
"221",221,13150009,NA,NA,NA,NA,NA,185,"Residential. Answer: Answer: NOT RESIDENTIAL. PART OF WOOLYARD, LOTS OF OFFICES, ARCHITECTURAL OFFICES ETC. AS PER EPICOLLECT. APPLIED TO WHOLE RANGE OF 1315...... FUCS","confirmed with full survey or verbal check",NA,NA,"unidentified","Unidentified","FUCs descriptions checked"
"222",222,1323,NA,NA,NA,NA,NA,186,"To check I WAS NOT SURE. MIGHT BE VACANT. AGA","confirmed with full survey or verbal check",NA,NA,"Property Developer","Office","FUCs descriptions checked"
"223",223,1333,NA,NA,NA,NA,NA,187,"Retail and office (frontage building). Answer: AS PER EPICOLLECT. I THINK A GALLERY?. AGA","NO FUC IN M","Create new entry in ""Oct 2018_M"" with appropriate description from EpiCollect, and draw associated polygon if needed",NA,NA,NA,"FUCs queries"
"224",224,13470001,NA,NA,NA,NA,NA,188,"Residential. Answer: NOT RESIDENTIAL. OFFICES. AS MARKED ON EPICOLLECT FOR WHOLE RANGE OF FUC 1347...... AGA",NA,NA,NA,"Marketing Agency","Office","FUCs descriptions checked"
"225",225,1349,NA,NA,NA,NA,NA,189,"Fashion & Textile Museum. MARKED AS MUSEUM ON EPICOLLECT. AGA",NA,NA,NA,"museum","museum","FUCs descriptions checked"
"226",226,1340,NA,NA,NA,NA,NA,190,"Tanneries. I think it’s all offices, but to check. OFFICES. AS PER FUCS ENTERED. AGA",NA,NA,NA,"Design and build project managment company","Design and build project managment company","FUCs descriptions checked"
"227",227,1345,NA,NA,NA,NA,NA,190,"Tanneries. I think it’s all offices, but to check. OFFICES. AS PER FUCS ENTERED. AGA",NA,NA,NA,"Software Company","Software Company","FUCs descriptions checked"
"228",228,1358,NA,NA,NA,NA,NA,190,"Tanneries. I think it’s all offices, but to check. DEMOLISHED. AGA",NA,NA,NA,"demolished","demolished","FUCs descriptions checked"
"229",229,1360,NA,NA,NA,NA,NA,190,"Tanneries. I think it’s all offices, but to check. DEMOLISHED. AGA",NA,NA,NA,"demolished","demolished","FUCs descriptions checked"
"230",230,1337,NA,NA,NA,NA,NA,190,"Tanneries. I think it’s all offices, but to check. Answer: OFFICES. AS PER FUCS ENTERED. AGA",NA,NA,NA,"unidentifiable","unidentifiable","FUCs descriptions checked"
"231",231,1341,NA,NA,NA,NA,NA,190,"Tanneries. I think it’s all offices, but to check. Answer: OFFICES. AS PER FUCS ENTERED. AGA",NA,NA,NA,"unidentifiable","unidentifiable","FUCs descriptions checked"
"232",232,1350,NA,NA,NA,NA,NA,190,"Tanneries. I think it’s all offices, but to check. Answer: OFFICES. AS PER FUCS ENTERED. AGA",NA,NA,NA,"vacant","vacant","FUCs descriptions checked"
"233",233,1351,NA,NA,NA,NA,NA,190,"Tanneries. I think it’s all offices, but to check. Answer: OFFICES. AS PER FUCS ENTERED. AGA",NA,NA,NA,"demolished / vacant","demolished / vacant","FUCs descriptions checked"
"234",234,1352,NA,NA,NA,NA,NA,190,"Tanneries. I think it’s all offices, but to check. Answer: OFFICES. AS PER FUCS ENTERED. AGA",NA,NA,NA,"vacant","vacant","FUCs descriptions checked"
"235",235,1339,NA,NA,NA,NA,NA,190,"Tanneries. I think it’s all offices, but to check. Answer: OFFICES. AS PER FUCS ENTERED. AGA","NO FUC IN M","Create new entry in ""Oct 2018_M"" with appropriate description, and draw associated polygon",NA,NA,NA,"FUCs queries"
"236",236,1344,NA,NA,NA,NA,NA,190,"Tanneries. I think it’s all offices, but to check. Answer: OFFICES. AS PER FUCS ENTERED. AGA","NO FUC IN M","Create new entry in ""Oct 2018_M"" with appropriate description, and draw associated polygon",NA,NA,NA,"FUCs queries"
"237",237,1357,NA,NA,NA,NA,NA,191,"Yes, these two are industrial. YES. AS PER FUC. AGA",NA,NA,NA,"Event venue for rent","Event venue for rent","FUCs descriptions checked"
"238",238,1359,NA,NA,NA,NA,NA,191,"Yes, these two are industrial. Answer: RECORDING STUDIO",NA,"There is a discrepancy here between comment that this is 'recording studio' and the description which says 'office stationary supply'. Which is it? Please check in 2018_M that the description is correct. Change if it isn't. I can't find 191 in Oct18_M... may be that record needs to be recreated from EpiCollect. JC",NA,"Office stationary supply","Office stationary supply","FUCs queries"
"239",239,NA,NA,51.500563,-0.082118,"46",NA,192,"Ex RW Autos. Looks like vacant industrial.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"240",240,NA,NA,51.500086,-0.084669,"46",NA,193,"Leather Market, Workspace Group. Assume it’s all offices, but worth checking.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"241",241,1336,NA,NA,NA,NA,NA,194,"This is now residential. RESIDENTIAL ON TOP FLOORS, GROUND FLOOR AS PER FUC ENTERED (MARKETING AGENCY OR SOMETHING DIGITAL IF I REMEMBER WELL). AGA 
",NA,NA,NA,"Marketing Agency","Marketing Agency","FUCs descriptions checked"
"242",242,12780007,NA,NA,NA,NA,NA,195,"Decima Studio etc, to check. Answer: PART RESIDENTIAL, PATRT OFFICES, PARTS CLOSED. THE WHOLE AREA AS PER FUC ENTERED. POSSIBLY SOME OF THE SPACES MIGHT BE USED DURING DIFFERENT TIMES OF THE WEEK AND REMAIN CLOSED ON OTHER DAYS. 
",NA,NA,NA,"residential","residential","FUCs descriptions checked"
"243",243,1318,NA,NA,NA,NA,NA,196,"Not industrial.
RESIDENTIAL ON TOP FLOORS. GROUND FLOOR AS PER FUC ENTERED. AGA",NA,NA,NA,"Charity for homeless","Charity for homeless","FUCs descriptions checked"
"244",244,NA,NA,51.496555,-0.082285,"47",NA,197,"HSS.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"245",245,NA,NA,51.496545,-0.082317,"47",NA,198,"Machines bike shop and workshop.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"246",246,NA,NA,51.496329,-0.08275,"47",NA,199,"Dry cleaners.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"247",247,NA,NA,51.496375,-0.08287,"47",NA,200,"Perhaps industrial.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"248",248,NA,NA,51.495505,-0.084051,"48",NA,201,"Watson Bros Gunmakers. Location to check.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"249",249,1297,NA,NA,NA,NA,NA,202,"Park depot extent to check.",NA,NA,NA,"Community art group and workshop","Community art group and workshop","FUCs simple polygon edits needed"
"250",250,1330,NA,NA,NA,NA,NA,203,"No industrial here.",NA,NA,NA,"Graphic Design","Graphic Design","FUCs descriptions checked"
"251",251,1275,NA,NA,NA,NA,NA,204,"Church, not industrial.",NA,NA,NA,"Pentecostal church","Pentecostal church","FUCs descriptions checked"
"252",252,NA,NA,51.468996,-0.081855,"55","69",205,"This look like some sort of depot (perhaps healthcare) To check.","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"253",253,1338,NA,NA,NA,NA,NA,206,"This is now housing r part of hotel, I think. To check.",NA,NA,NA,"Hotel","Hotel","FUCs descriptions checked"
"254",254,1306,NA,NA,NA,NA,NA,207,"Are we sure this is vacant. Very sad if so.",NA,NA,NA,"Vacant","Vacant","FUCs descriptions checked"
"255",255,1273,NA,NA,NA,NA,NA,208,"Include yard.",NA,NA,NA,"Delivery Office","Delivery Office","FUCs simple polygon edits needed"
"256",256,NA,NA,51.501547,-0.079348,"60",NA,209,"Arches in industrial use. To check.","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"257",257,NA,NA,51.501084,-0.078307,"60",NA,210,"Arch in use. To check if industrial","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"258",258,NA,NA,51.500601,-0.07804,"61",NA,211,"Yard in industrial use","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"259",259,6000001,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Car Wash","Car Wash","FUCs simple polygon edits needed"
"260",260,6000002,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Unidentifiable","Unidentifiable (likely industrial)","FUCs simple polygon edits needed"
"261",261,6000003,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Scrap metal point","Scrap metal point","FUCs simple polygon edits needed"
"262",262,6000004,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Unidentifiable","Unidentifiable (likely industrial)","FUCs simple polygon edits needed"
"263",263,6000005,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Unidentifiable","Unidentifiable (likely industrial)","FUCs simple polygon edits needed"
"264",264,6100001,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Dry Cleaners","Dry Cleaners","FUCs simple polygon edits needed"
"265",265,6100002,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Vacant","Vacant (Industrial)","FUCs simple polygon edits needed"
"266",266,6100003,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Car Mechanic","Car Mechanic","FUCs simple polygon edits needed"
"267",267,6100004,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Car Mechanic","Car Mechanic","FUCs simple polygon edits needed"
"268",268,6100005,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Unidentifiable","Unidentifiable (likely industrial)","FUCs simple polygon edits needed"
"269",269,6100006,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Derelict","Derelict (formerly industrial)","FUCs simple polygon edits needed"
"270",270,6100007,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Unidentifiable","Unidentifiable (likely industrial)","FUCs simple polygon edits needed"
"271",271,6100008,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Vacant","Vacant (Industrial)","FUCs simple polygon edits needed"
"272",272,6100009,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Unidentifiable","Unidentifiable (likely industrial)","FUCs simple polygon edits needed"
"273",273,6100010,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Unidentifiable","Unidentifiable (likely industrial)","FUCs simple polygon edits needed"
"274",274,6100011,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Car Mechanic","Car Mechanic","FUCs simple polygon edits needed"
"275",275,6100012,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Unidentifiable","Unidentifiable (likely industrial)","FUCs simple polygon edits needed"
"276",276,6100013,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Unidentifiable","Unidentifiable (likely industrial)","FUCs simple polygon edits needed"
"277",277,6100014,NA,NA,NA,NA,NA,212,"This whole run of rail arches is in industrial use. To check.",NA,NA,NA,"Unidentifiable","Unidentifiable (likely industrial)","FUCs simple polygon edits needed"
"278",278,7900001,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"279",279,7900002,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"280",280,7900003,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Restaurant / unit used as a storage and head office","Restaurant / unit used as a storage and head office","FUCs simple polygon edits needed"
"281",281,7900004,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Alcohol supplier / Event managment","Alcohol supplier / Event managment","FUCs simple polygon edits needed"
"282",282,7900005,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"283",283,7900006,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Alcohol wholesale","Alcohol wholesale","FUCs simple polygon edits needed"
"284",284,7900007,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Brewery","Brewery","FUCs simple polygon edits needed"
"285",285,7900008,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"286",286,7900009,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Charity","Charity","FUCs simple polygon edits needed"
"287",287,7900010,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"288",288,7900011,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Tools and equipment rental","Tools and equipment rental","FUCs simple polygon edits needed"
"289",289,7900012,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Tap room, shop, brewery","Tap room, shop, brewery","FUCs simple polygon edits needed"
"290",290,7900013,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Craft beer wholesale, tap room","Craft beer wholesale, tap room","FUCs simple polygon edits needed"
