"","3_Functional_Unit_Co","5_11_Name_of_organis","Description_of_","Class1"
"477",18380311,"LMC Worldwide","Non-financial Management Consultancy","Non-financial Management Consultancy"
"478",18380310,"Skipper & Skipper","Health and Wellness Agency/Advertising","Health and Wellness Agency/Advertising"
"479",18380309,"Boucleme","Specialist Hair Product Retailer","Specialist Hair Product Retailer"
"480",18380308,"Strategir","Consumer Market Research","Consumer Market Research"
"481",18380307,"Mel Bliss","Phootgraphy","Phootgraphy"
"482",18380306,NA,"vacant","vacant"
"483",18380305,"J.R Davies & Associates","Proffesional Business Advisors and Fiduciary","Proffesional Business Advisors and Fiduciary"
"484",18380304,"FIght for Peace International","International Youth Charity","International Youth Charity"
"485",18380303,NA,"vacant","vacant"
"486",18380302,"Bubble Student","Student Accomodation Platform","Student Accomodation Platform"
"487",2100006,"Agege Bread","Bakery","Bakery"
"488",3600018,"John Walter","Artist","Artist studio"
"489",3600017,"Lottie Stoddart","Artist","Artist studio"
"490",3600016,"Tin Tin Sann","Artist","Artist studio"
"491",3600015,"Nicholas Peall","Artist","Artist studio"
"492",3600014,"Mark Parsons","Photographer","Photography studio"
"493",3600013,"Christina Niederberger","Artist","Artist studio"
"494",3600012,"Sonia Martin","Artist","Artist studio"
"495",3600011,"Chiho Iwase","Artist","Artist studio"
"496",3600010,"Yvonne Feng","Artist","Artist studio"
"497",3600009,"Philip Chitty","Artist","Artist studio"
"498",3600008,"Sarah Bick","Set decorator and stylist","Set decorator and stylist"
"499",3600007,"Carl Anderson","Artist","Artist studio"
"500",1849,"Arch Company","Vacant","vacant"
"501",1846,"Arch Company","Vacant","vacant"
"502",1844,"Arch Company","Vacant","vacant"
"503",1840,"Arch Company","Vacant","vacant"
"504",1813,"Peckham Bus Garage","Transport garage","Transport garage"
"505",2300010,"Happy Bikes","Bike repair","Bicycle service"
"506",17870317,NA,"vacant","vacant"
"507",17870315,NA,"unidentified","unidentifiable"
"508",17870316,NA,"vacant","vacant"
"509",928,"Destiny House","Religious","Religious"
"510",3600001,"Almost Everything","Prop designers & makers","Prop designers & makers"
"511",3600005,"Turps art school","Art school","Art school"
"512",3600006,"Fernando Holguin","Artist","Artist studio"
"513",3600004,"Well Proven Chair","Chair/stool manufacturers","Chair/stool manufacturers"
"514",360003,"Bainbridge Print Studio","Print studio","Print studio"
"515",360002,"Perish the Thought","Artist studio","Artist studio"
"516",2000011,"Castle launderette & dry cleaner","Launderette & dry cleaner","Launderette & dry cleaner"
"517",1040007,"Electric pedals","Event management","Event management"
"518",1786,"Honda Riders Motors","Vehicle Services","Vehicle Services"
"519",1794,"Alexander House","Residential","residential"
"520",1803,"Grafton PLC / build base","Builders merchant, electrical, timber","Builders merchant, electrical, timber"
"521",111111541,NA,"residential","residential"
"522",111111534,NA,"residential","residential"
"523",111111533,NA,"residential","residential"
"524",111111532,NA,"Former industrial yard, now vacant","Former industrial yard, now vacant"
"525",111111531,NA,"residential","residential"
"526",111111451,NA,"Formely Mulberry Business Park, now site owned by King's College","Formely Mulberry Business Park, now site owned by King's College"
"527",11111212,NA,"unidentifiable","unidentifiable"
"528",11111211,NA,"residential","residential"
"529",11111201,NA,"Railway arches, formerly occupied by industrial businesses","Railway arches, formerly occupied by industrial businesses"
"530",11111191,NA,"residential","residential"
"531",840011,"New Motors MOT centre","Vehicle repairs","Vehicle repair"
"532",840016,"Blenheim Motors Ltd","Vehicle repairs","Vehicle repair"
"533",840014,"OMD Autos Ltd","Vehicle services","Vehicle repair"
"534",840012,"Serious Pig","Food distribution (snacks)","Food distribution (snacks)"
"535",840010,"Sassoon Gallery","Office / light industry","Office / light industry"
"536",840009,"TARA fabrications","Metal fabricator","Metal fabricator"
"537",1607,"The laundry","Artist Studios","Artist studio"
"538",1638,"Ian Davenport","Artist","Artist studio"
"539",1968,NA,"Vacant","vacant"
"540",1967,NA,"Vacant","vacant"
"541",18380301,"YourDaye Ltd.","Sustainable/Alternative Womens Health Solutions","Sustainable/Alternative Womens Health Solutions"
"542",18380216,"Secci Smith Ltd.","Visualisation for Architects/CGI etc.","Visualisation for Architects/CGI etc."
"543",18380215,"Phaein Ltd.","Underwear designer/producer","Underwear designer/producer"
"544",8700003,NA,"Vacant","vacant"
"545",8700001,"Deep Book Ltd","Book store","Book store"
"546",8700002,"Ian Dunn Woodwork & Design","Fabricators","Fabricators"
"547",8800002,"Active Music Distribution","Music Distribution","Music Distribution"
"548",18380213,"TRC Space Ltd.","Software development","Software development"
"549",18380212,NA,"vacant","vacant"
"550",18380214,"United Practice","Graphic Design","Graphic design"
"551",18380211,NA,"vacant","vacant"
"552",18380210,"Pryme Ltd.","Accounting","Accounting"
"553",18380209,"Pixable Ltd","Computer Consultancy Agency","Computer Consultancy Agency"
"554",18380208,"Hype Collective","Student Marketing Agency","Student Marketing Agency"
"555",18380207,"Academy Of Ideas","Conference/Debate organisers","Conference/Debate organisers"
"556",18380206,"Network Support London Ltd.","IT Support","IT Support"
"557",18380205,"Wild Fawn Jewllery","Ethical + Eco-friendly Jewellery Makers","Ethical + Eco-friendly Jewellery Makers"
"558",18380204,"Lets JAAM Studio","Digital Production Studio","Digital Production Studio"
"559",18380203,"E.L.F ZHOU London","Fashion Accessory Designer and Producer","Fashion Accessory Designer and Producer"
"560",18380202,NA,"vacant","vacant"
"561",18380201,"Reel Nice Ltd.","Motion Picture Producers.","Motion Picture Producers."
"562",18380200,"Yellowball Ltd.","Digital Marketing Agency","Digital Marketing Agency"
"563",18380119,"Azzue Studio","Manufacturer of wearing apparell and accesories","Manufacturer of wearing apparell and accesories"
"564",18380118,"The Law Boutique","Law Consultancy Agency","Law Consultancy Agency"
"565",1652,"PD Construction Ltd","Building Contractor","Building Contractor"
"566",18380117,"Bagir Holdings (UK) Ltd.","Wholesale clothing and footwear","Wholesale clothing and footwear"
"567",18380116,"Process Creative Ltd.","Multi-Design led Services","Multi-Design led Services"
"568",8900001,"Andrew Brock","Automobile Engineer","Vehicle repair"
"569",15070007,"Trisha Needham Textiles","Textile Maker","Textile Maker"
"570",15070006,"Push Studios","Fitness Studio","Fitness Studio"
"571",15070005,"The Desktop Centre","Computer Repairs","Computer Repairs"
"572",15070004,"Hepburn Solicitors","Solicitors","Solicitors"
"573",15070003,"District Architects","Architecture Practice","Architecture Practice"
"574",18380114,"GoSweat","Health and Fitness/Employee Well-Being","Health and Fitness/Employee Well-Being"
"575",15070002,"Imogen Man","Artist","Artist studio"
"576",7400001,"Motortech","Vehicle Repairs & Servicing","Vehicle repair"
"577",7100001,"Melbourne Tyres","Tyre fitter","Tyre fitter"
"578",9200001,NA,"Residential","residential"
"579",2084,"residential",NA,NA
"580",14800003,NA,"Takeaway food stall","Takeaway food stall"
"581",14800002,"Plush Barbers","Hairdressing","Hairdressing"
"582",2055,"Whelen's pub","Public house","Public house"
"583",2056,"South London Car Sales","Second hand cars","Second hand cars"
"584",1500002,NA,"derelict","derelict"
"585",14500022,"Ian Went","Artist","Artist studio"
"586",14500021,"Michelle Weiner","Artist","Artist studio"
"587",14500020,"Adam Tylicki","Artist","Artist studio"
"588",14500019,"Tai Tran","Artist","Artist studio"
"589",14500018,"Sabina Stefanova","Artist","Artist studio"
"590",14500017,"Kenichi Shimizu","Artist","Artist studio"
"591",14500016,"Doodling Around","Illustrator","Illustrator"
"592",14500015,"Rodrigo Pires","Artist","Artist studio"
"593",14500014,"Vasilis Photiou","Photographer","Photography studio"
"594",14500013,"Antonio Nardi","Songwriter/music composer","Songwriter/music composer"
"595",14500012,"Jenna Lee","Artist","Artist studio"
"596",14500011,"Kumyoung Kwon","Artist","Artist studio"
"597",1042,"R K Burt & Co","Wholesale paper importer","Wholesale paper importer"
"598",962,NA,"Offices/residential","Offices/residential"
"599",14500010,"Acktarr Khedoo","Artist","Artist studio"
"600",14500009,"Désirée Ickerodt","Artist","Artist studio"
"601",14500008,"Hannah Hill","Director/editor","Director/editor"
"602",903,NA,"vacant","vacant"
"603",14500007,"Lucy Hayhoe","Artist","Artist studio"
"604",14500006,"Vanessa Gould","Artist","Artist studio"
"605",14500005,"Romulo Goncalves","Artist","Artist studio"
"606",14500004,"Oh! Dear","Illustrator/graphic design","Illustrator/graphic design"
"607",914,"Southwark Forge","Offices","Offices"
"608",14500003,"ClaytonMade","Upholstery/interior design","Upholstery/interior design"
"609",14500002,"Rosa Beiroa","Artist","Artist studio"
"610",400003,"Hand car wash","Hand car wash","Hand car wash"
"611",400002,"Great Suffolk Street taxi cafe","Cafe","Cafe"
"612",400001,"Acres services","Diesel filling station","Diesel filling station"
"613",1611,"Royal Mail","Delivery Office","Delivery Office"
"614",8400007,"Blenheim arch ceramic studio","Ceramic studio","Ceramist"
"615",1940,NA,"Non industrial","Non industrial"
"616",12100007,"Bespoke Cornice","Produce Decorative Plaster products for restorations","Produce Decorative Plaster products for restorations"
"617",8400005,"Forge","Knife making","Knife making"
"618",12100005,"Sanger Motors","Vehicle Repairs and Servicing","Vehicle repair"
"619",12100004,NA,"Vacant","vacant"
"620",12100003,NA,"Vacant","vacant"
"621",12100002,NA,"Vacant","vacant"
"622",12100001,NA,"Vacant","vacant"
"623",12100009,"Hollywood Nail Supply","Storage","Storage"
"624",13700008,NA,"Vacant","vacant"
"625",13700007,"Lowry London","Furniture Design and Maker","Furniture Design and Maker"
"626",13700006,NA,"Vacant","vacant"
"627",13700004,"Orion Trade Supplies","Trade Suppliers","Trade Suppliers"
"628",13700002,"Motorbike Garage","Motorbike repairs and Servicing","Motorbike repairs and Servicing"
"629",15490003,"HyperDub","Record label","Record label"
"630",1546,"Foundry","Multiple businesses","Multiple businesses"
"631",1542,"Dragon Smoke construction","Scenery for film, TV, theatre and events","Scenery for film, TV, theatre and events"
"632",15490002,"Sonsoles Studio","Print workshop","Print workshop"
"633",1766,NA,"Residential","residential"
"634",1763,NA,"Residential","residential"
"635",15490001,"NS Parquet","Flooring","Flooring"
"636",23900001,"Whitten Timber","Timber Merchant","Timber Merchant"
"637",1549,"Foundry Asset management","Lease for studios and workshops","Lease for studios and workshops"
"638",1541,"Wolseley UK","Heating and plumbing","Heating and plumbing"
"639",1533,"Change Please","Training school for coffee","Training school for coffee"
"640",1617,"BT Dulwich TE","Engineers Office","Engineers Office"
"641",3000007,NA,"Storage","Storage"
"642",29000010,"South London Maker Space","Community Workshop","Community Workshop"
"643",290005,"Wyliewood Ltd","Fabrication","Fabrication"
"644",3000009,"Local Greens","Veg Box Company","Veg Box Company"
"645",3000008,"Iron Gates and Railings Specialists","Metal Fabricators","Metal Fabricators"
"646",3000006,NA,"Make Fish Tanks","Make Fish Tanks"
"647",29000020,NA,"unidentifiable","unidentifiable"
"648",29000019,NA,"unidentifiable","unidentifiable"
"649",29000018,NA,"unidentifiable","unidentifiable"
"650",29000017,NA,"unidentifiable","unidentifiable"
"651",29000016,NA,"unidentifiable","unidentifiable"
"652",29000015,"Steve Motor","Vehicle Repairs & Servicing","Vehicle repair"
"653",3000004,NA,"unidentifiable","unidentifiable"
"654",29000014,NA,"unidentifiable","unidentifiable"
"655",29000013,NA,"unidentifiable","unidentifiable"
"656",29000012,"Koi Bar","Resturant storage and prep unit","Resturant storage and prep unit"
"657",3000001,"DNA Factory","Artists","Artist studio"
"658",29000011,NA,"unidentifiable","unidentifiable"
"659",2900009,NA,"unidentifiable","unidentifiable"
"660",2900008,"Fabrication shop","Metal and timber fabrication","Metal and timber fabrication"
"661",2900007,"Canopy Brewery","Storage Unit","Storage Unit"
"662",2900006,"Ashman Bros","Taxi Cab Proprietor & Repair Specialist","Taxi Cab Proprietor & Repair Specialist"
"663",2900004,"Broken Blind Ltd","Maufacture, clean and repair blinds","Maufacture, clean and repair blinds"
"664",2900003,NA,"vacant","vacant"
"665",2900002,NA,"unidentifiable","unidentifiable"
"666",2900001,NA,"unidentifiable","unidentifiable"
"667",3000003,"Working Idea","Furniture","Furniture"
"668",3000002,"Elementary Design","Manufacture screwdriver sets and repairs Sash Windows","Manufacture screwdriver sets and repairs Sash Windows"
"669",14840002,"Minty Art Limited / Minty Property","Art studio and workshop","Art studio and workshop"
"670",16720003,"Paul Venman Design","Fabricator","Fabricator"
"671",16720002,"Sally Jones","Carpentry","Carpentry"
"672",1720,NA,"Derelict","derelict"
"673",1722,NA,"Derelict","derelict"
"674",1925,"Bright Horizons","Day Nursery and Pre School","Day Nursery and Pre School"
"675",1739,"Smoke City Cycles","Bike Repairs and Servicing","Bicycle service"
"676",1742,"Turners","Repairs and Servicing","Repairs and Servicing"
"677",17250001,"Funding Pizza","Pizza maker","Pizza maker"
"678",17090001,"Victorious","Motorcycle Repairs and Servicing","Motorcycle Repairs and Servicing"
"679",1712,"Orthotic Composites","Manufacture Orthotics and prosthetics","Manufacture Orthotics and prosthetics"
"680",1716,"Crown Joinery","Joiners","Joiners"
"681",17250004,"Pastificiomansi","Make and sell Pasta","Make and sell Pasta"
"682",17250003,"Capocaccia","Fine Food Importer","Fine Food Importer"
"683",17250002,"South East Cakery","Commercial Bakery","Commercial Bakery"
"684",1721,"Lifeguard Ltd","Lift Fabricators","Lift Fabricators"
"685",17170002,"Dulwich Test & Service Centre","Vehicle Servicing","Vehicle Servicing"
"686",1895,NA,"Residential","residential"
"687",1890,"Gold Motors","Car repair","Vehicle repair"
"688",1889,NA,"Residential","residential"
"689",1893,NA,"Residential","residential"
"690",1888,"Sel’s Auto Repairs","Vehicle repairs","Vehicle repair"
"691",1880,NA,"Residential","residential"
"692",1866,"Harradines","Storage removal","Storage removal"
"693",1867,"Harradines","Storage removal","Storage removal"
"694",1875,NA,"Residential","residential"
"695",1860,NA,"Vacant","vacant"
"696",1859,NA,"Residential","residential"
"697",1862,"Harradines","Removal company","Removal company"
"698",1886,"Surebuild Timber Ltd","Timber merchant","Timber merchant"
"699",1884,"Surebuild Timber Ltd","Timber merchanr","Timber merchanr"
"700",1907,NA,"Residential","residential"
"701",1906,NA,"Residential","residential"
"702",1905,NA,"Residential","residential"
"703",1904,NA,"Residential","residential"
"704",1903,NA,"Residential","residential"
"705",1901,NA,"Residential","residential"
"706",1931,NA,"Under development","development"
"707",1930,NA,"Under development","development"
"708",1929,NA,"Under development","development"
"709",1928,NA,"Under development","development"
"710",1927,NA,"Under development","development"
"711",1926,NA,"Development","development"
"712",1990,"British Telecommunications PLC","Multinational telecommunications","Multinational telecommunications"
"713",2025,"HATS group","Transport services","Transport services"
"714",2027,"HATS group","Transport services","Transport services"
"715",2028,"HATS group","Transport buses","Transport buses"
"716",2029,"HATS group ltd.","Transport","Transport"
"717",300003,"Gemini Hire and Sales Ltd","Plant hire and sales","Plant hire and sales"
"718",4000001,"Big Yellow Self Storage","development","development"
"719",3300001,"Vitesse PLC / Laserlife","Office products / print solutions","Office products / print solutions"
"720",1198,"View Lettings","Letting agents","Letting agents"
"721",12070003,"Number 42","Councelling and pyschotherapy","Councelling and pyschotherapy"
"722",12070002,"YBM Design","Design consultancy and content marketing agency","Design consultancy and content marketing agency"
"723",12070001,"Hastings International","Estate agents","Estate agents"
"724",1209,NA,"offices","Offices"
"725",1191,"Field & Sons","Surveyors, valuers and estate agents","Surveyors, valuers and estate agents"
"726",1190,NA,"offices","Offices"
"727",1167,NA,"unidentified","unidentifiable"
"728",1391,NA,"unidentifiable","unidentifiable"
"729",1384,NA,"vacant","vacant"
"730",1382,NA,"vacant","vacant"
"731",13930004,"Chris Keenan","Ceramics, pottery","Ceramist"
"732",13880015,"Nahoko Kudo","Fine art, sculpture, film, installation","Fine art, sculpture, film, installation"
"733",13880014,"James Robjent","Photography, fashion photography","Photography, fashion photography"
"734",13880013,"Sophie Glover","Illustration","Illustration"
"735",13880012,"Tatiana Orloff","Fine art, sculpture","Fine art"
"736",13880009,NA,"vacant","vacant"
"737",13880011,"'Vanguard Prize' artist studio","Fine art","Fine art"
"738",13880010,"Eliza Hopewell Plates","Plate painting","Plate painting"
"739",13880008,"Emma Fineman","Fine art, painting","Fine art"
"740",13880007,"Lucy Lyttleton","Fine art, painting","Fine art"
"741",13880006,"Tsuruta Architects","Architecture","Architecture practice"
"742",13880005,"Studio 9D Jewellery Collective","Jewellery design and making","Jewellery design and making"
"743",13880004,NA,"Photography","Photography studio"
"744",13880002,"Charlotte Mann","Fine art, wall drawings, drawings","Fine art, wall drawings, drawings"
"745",1137,NA,"residential","residential"
"746",1378,"Focus Plant","Tool shop And manufacturing","Tool shop And manufacturing"
"747",1374,"Focus Plant","Tool shop and manufacturer","Tool shop and manufacturer"
"748",1397,"Focus plant","Tool manufacturing","Tool manufacturing"
"749",1390,"Focus Point","Tool workshop","Tool workshop"
"750",1386,NA,"Residential","residential"
"751",1387,NA,"Development","development"
"752",1375,"Focus Plant","Tools and plant hire / DIY","Tools and plant hire / DIY"
"753",2600008,NA,"vacant","vacant"
"754",2600007,NA,"vacant","vacant"
"755",2600006,NA,"vacant","vacant"
"756",2600005,NA,"vacant","vacant"
"757",2600004,NA,"vacant","vacant"
"758",17870276,NA,"unidentified","unidentifiable"
"759",17870275,NA,"unidentified","unidentifiable"
"760",17870274,NA,"unidentified","unidentifiable"
"761",17870273,NA,"unidentified","unidentifiable"
"762",17870272,NA,"unidentified","unidentifiable"
"763",17870271,NA,"unidentified","unidentifiable"
"764",17870270,NA,"unidentified","unidentifiable"
"765",17870269,"Apollo 11","Recording Studio","Recording Studio"
"766",17870213,"Fab-LK studio","Styling","Styling"
"767",18560037,"Hire Station Ltd","Equipment for rent","Equipment for rent"
"768",18380113,"IMAG","Display/Media Specialist/Consultants","Display/Media Specialist/Consultants"
"769",18380112,NA,"vacant","vacant"
"770",18380111,"Munro Acoustics","Acoustic Design/Consultancy","Acoustic Design/Consultancy"
"771",18380110,NA,"vacant","vacant"
"772",18380109,"Yun Kyung Jeong","Artist","Artist studio"
"773",18380108,NA,"vacant","vacant"
"774",18380106,NA,"vacant","vacant"
"775",18380107,"Chiara Herwegh Vonk","unidentifiable","unidentifiable"
"776",18380105,"Dosed UK","Film/CGI/Digital Production","Film/CGI/Digital Production"
"777",18380104,"No Uniform & No Branding","Bespoke Uniform Design","Bespoke Uniform Design"
"778",18380103,"Sambazon Ltd.","Sustainability and Food production","Sustainability and Food production"
"779",18380102,"Julius Meinl UK","Tea and Coffee producer/distributor","Tea and Coffee producer/distributor"
"780",1464,"Tower Workshops","Vacant","vacant"
"781",1972,NA,"residential","residential"
"782",1971,NA,"residential","residential"
"783",1949,"FA Albin and Sons","funeral directors","funeral directors"
"784",1955,NA,"vacant","vacant"
"785",1958,NA,"vacant","vacant"
"786",1979,NA,"vacant","vacant"
"787",1963,"Albin Memorial","religious organisation","religious organisation"
"788",2032,NA,"residential","residential"
"789",2033,NA,"residential","residential"
"790",2035,NA,"residential","residential"
"791",2036,NA,"vacant","vacant"
"792",17870227,NA,"unidentified","unidentifiable"
"793",17870226,NA,"unidentified","unidentifiable"
"794",17870225,NA,"unidentified","unidentifiable"
"795",19500002,"Shared offices","offices","Offices"
"796",19500001,"Gov Risk","Training provider","Training provider"
"797",17870224,NA,"unidentified","unidentifiable"
"798",17870223,NA,"unidentified","unidentifiable"
"799",17870222,NA,"unidentifiable","unidentifiable"
"800",17870221,"Ayuok Holistic Healing","Healing","Healing"
"801",17870220,NA,"unidentified","unidentifiable"
"802",2009,NA,"residential","residential"
"803",17870219,"Signal Biometrics","Technology development","Technology development"
"804",1948,NA,"residential","residential"
"805",1947,NA,"residential","residential"
"806",1945,NA,"residential","residential"
"807",17870218,"Linky’s Glitter","Scented Candles","Scented Candles"
"808",1989,NA,"residential","residential"
"809",1977,NA,"residential","residential"
"810",1974,NA,"residential","residential"
"811",1970,NA,"residential","residential"
"812",1975,NA,"residential","residential"
"813",1969,NA,"residential","residential"
"814",1965,NA,"residential","residential"
"815",1961,NA,"residential","residential"
"816",1959,NA,"residential","residential"
"817",1957,NA,"residential","residential"
"818",1952,NA,"residential","residential"
"819",1951,NA,"residential","residential"
"820",18560036,"Ideadrop","Web services","Web services"
"821",18560035,"Pact Coffee","Coffee","Coffee"
"822",18560034,"Animal Farm LLP","Artist management and recording","Artist management and recording"
"823",18560033,"Teespring","Online Retail","Online Retail"
"824",18560032,"Newstar","Management Consultants","Management Consultants"
"825",18560031,"Hannons","Real estate","Real estate"
"826",18560030,"John Hart Accountancy","Accounts","Accounts"
"827",18560029,"Samurai Productions","unidentifiable","unidentifiable"
"828",18560028,NA,"vacant","vacant"
"829",18560027,"Ward Security","Security service","Security service"
"830",18420026,"MBM Partners Ltd","Web hosting, e-commerce solutions","Web hosting, e-commerce solutions"
"831",18560025,"H&E Johnson","IT service","IT service"
"832",18560024,NA,"vacant","vacant"
"833",18560023,"Craft Architects","Architecture Practice","Architecture Practice"
"834",18560022,"Elicite","unidentifiable","unidentifiable"
"835",18560021,NA,"vacant","vacant"
"836",18560020,NA,"vacant","vacant"
"837",18560019,"RVDS","Advertising photography","Photography studio"
"838",18560018,"Atlantic Pacific","Life Boat Company","Life Boat Company"
"839",18560017,"London Cab Drivers","Cab services","Cab services"
"840",18560016,"Founders Pledge","Community problem solving","Community problem solving"
"841",18560015,"Tong Digital","Digital representation, media services","Digital representation, media services"
"842",18560014,"Karl Willett","Stylist","Stylist"
"843",18560013,NA,"vacant","vacant"
"844",18560012,NA,"vacant","vacant"
"845",18560011,NA,"vacant","vacant"
"846",18560010,"Mother Nature Science","Activities for kids related to Science","Activities for kids related to Science"
"847",18560009,"ECG Facilities Services","Building Maintenance","Building Maintenance"
"848",1385,"Bruce","Garage, mechanic, caretaker","Garage, mechanic, caretaker"
"849",13880003,"Alex Goacher Ltd","Set building and prop making","Set building and prop making"
"850",13880001,"Bernard Elsmere Design","Design, fabrication and installation of cabinetry, furniture and architectural joinery","Design, fabrication and installation of cabinetry, furniture and architectural joinery"
"851",1392,"Manta Ray Props","Set building, prop making","Set building, prop making"
"852",13930018,NA,"vacant","vacant"
"853",13930017,"London School of Wig Making","Wig making and wig making school","Wig making and wig making school"
"854",13930016,"Piers Townshend","Art conservator","Art conservator"
"855",13930015,"Vic Lee Prints of London","Typography-based artwork (murals, books, posters)","Typography-based artwork (murals, books, posters)"
"856",13930014,NA,"vacant","vacant"
"857",13930013,NA,"Artist / painter","Artist studio"
"858",13930012,"SAM Architects","Architecture","Architecture practice"
"859",13930011,"Catherine-Marie Longtin","Quilt-maker and textile artist","Quilt-maker and textile artist"
"860",13930019,NA,"development","development"
"861",13930010,"John Mahoney-Phillips Ceramics","Ceramics","Ceramist"
"862",13930009,"Deacon Communications Limited","Music PR agency","Music PR agency"
"863",13930008,"Mr Jones Watches","Watch designer and maker","Watch designer and maker"
"864",13930007,"Kiku Obata & Co","Artist / painter","Artist studio"
"865",13930006,"Gill Rocca","Artist / landscape painter","Artist studio"
"866",13930005,"Mathew Bray and Matthew Collins Ltd","Decorative arts and furniture","Decorative arts and furniture"
"867",13930003,"Carina Ciscato","Ceramics, pottery","Ceramist"
"868",13930002,"Simon Webb Photography","Photography","Photography studio"
"869",13930001,"Zap Studios","Photography and events studio","Photography and events studio"
"870",1395,"GN Hughes","Picture framers","Picture framers"
"871",18380101,"Lab Genius","Biotechnology","Biotechnology"
"872",13810010,"George Edwards","Stone carver, architectural carvings, ornaments","Stone carver, architectural carvings, ornaments"
"873",13810009,"Jude Stark Studio at The London Stained Glass Co.","Stained glass designing and making","Stained glass designing and making"
"874",13810008,"Artist studio","Fine art","Fine art"
"875",13810007,"Artist studio","Fine art, sculpture, painting","Fine art, sculpture, painting"
"876",13810006,"Marcus Harvey","Fine art, painting, sculpture","Fine art, painting, sculpture"
"877",13810005,"DSFN","Cabinetry, woodwork","Cabinetry, woodwork"
"878",13810004,"Guy Haddom","Fine art, sculpture","Fine art"
"879",13810003,"Sun Kim Ceramics","Ceramics, fine art","Ceramist"
"880",13810002,"Kaori Tatebayashi Ceramics","Ceramics: sculpture, tableware","Ceramist"
"881",13810001,"Catrin Howell Ceramics","Ceramics, fine art","Ceramist"
"882",1377,"Corin Johnson","Stone carving","Stone carving"
"883",13760009,"Flux Studios","Jewellery school and professional studio","Jewellery school and professional studio"
"884",13760008,"Robert Cooper","Ceramic sculpture","Ceramist"
"885",13760007,"Grant Aston","Ceramics and sculpture","Ceramist"
"886",13760006,"Henry Pim","Ceramic sculpture","Ceramist"
"887",13760005,"Maiko Tsutsumi","Designer maker, sculptures and objects for use in wood, lacquer and ceramic","Designer maker, sculptures and objects for use in wood, lacquer and ceramic"
"888",13760004,"Erica Parrett","Textile design","Textile design"
"889",13760003,"Christopher Riggio","Fine art ceramics","Fine art"
"890",13760001,"SEW Ltd","Gold/Silversmiths","Gold/Silversmiths"
"891",13730010,NA,"Fine art","Fine art"
"892",13730009,"Bill Morris Architects","Architecture","Architecture practice"
"893",13730008,"Bold Oxlip","Florist","Florist"
"894",13730007,"Roseanne Connolly","Ceramic artist","Ceramist"
"895",13730006,"Newfor.studio","Graphic designers","Graphic design"
"896",13730005,"Wycliffe Stutchbury","Artist and furniture maker","Artist studio"
"897",13730004,"SASA Works","Designing and building furniture, lighting, objects and small buildings","Designing and building furniture, lighting, objects and small buildings"
"898",13730003,"Nostalgic Glass","Antique glass replacements, repair and reproductions","Antique glass replacements, repair and reproductions"
"899",13730001,"Peckham Road Studio","Music recording studio","Music recording studio"
"900",18560008,"Boundless Theatre","Theatre company","Theatre company"
"901",18560007,NA,"unidentified","unidentifiable"
"902",18560006,NA,"unidentified","unidentifiable"
"903",1504,"Chadwick Road Substation","Substation","Substation"
"904",18560005,"Reel Nice Ltd/Mark Edward Pizzey","Film production","Film production"
"905",18560004,NA,"vacant","vacant"
"906",18560003,NA,"vacant","vacant"
"907",18560002,"Hostmaker","Property management, recreate interiors for homes","Property management, recreate interiors for homes"
"908",18380115,"James Hillman","Fashion Consultancy","Fashion Consultancy"
"909",18380045,NA,"vacant","vacant"
"910",18380044,"John Tooke&Partners","Engineering and Architectural services","Engineering and Architectural services"
"911",18380043,"Art Press Publishing","Manufacturing Stationery","Manufacturing Stationery"
"912",18380042,"LU MEI","Luxury Clothing","Luxury Clothing"
"913",18380041,"Attaboy Television","Television shows","Television shows"
"914",18380040,"Rich Clicks","Digital advertising","Digital advertising"
"915",18380039,"IF_DO","Architecture Practice","Architecture Practice"
"916",18380038,"Derek Taylor Design Ltd","Construction activities","Construction activities"
"917",18380037,"Metro Hospitality Design","Providing staff facilities","Providing staff facilities"
"918",18380036,"World Forum Disrupt","Conference Organisers","Conference Organisers"
"919",18380035,"Podium Surveying","Building Surveying and Consultancy","Building Surveying and Consultancy"
"920",18380034,NA,"vacant","vacant"
"921",18380033,"Intelligent Robots","Robotics","Robotics"
"922",18380032,"Vochlea Music","Music technology","Music technology"
"923",18380031,"Yun Kyung Jeong","Artist","Artist studio"
"924",18380030,"Liam David Griffiths","Mortgage, Risk Score","Mortgage, Risk Score"
"925",18380029,"Hot Vox","Music events","Music events"
"926",18380028,"The Actors Exchange","Actors management agency","Actors management agency"
"927",18380027,"House on the Rock International Church(Hotrics)","Religious","Religious"
"928",18380026,"Xihelm Ltd","Technology for AI","Technology for AI"
"929",18380025,"Natures Plus","Health Food retailer","Health Food retailer"
"930",18380024,"Green Party","Political activities","Political activities"
"931",18370023,"Southwark Newspaper ltd","Newspaper","Newspaper"
"932",18380022,"Peek Freans Museum","Biscuit Factory Museum","Biscuit Factory Museum"
"933",18380021,NA,"vacant","vacant"
"934",18380020,NA,"vacant","vacant"
"935",18380019,"Studio Photo Gallery","Photography Studio","Photography studio"
"936",18380018,NA,"vacant","vacant"
"937",18380017,"Kosmos","unidentifiable","unidentifiable"
"938",18380016,NA,"vacant","vacant"
"939",1149,NA,"unidentified","unidentifiable"
"940",1147,NA,"unidentified","unidentifiable"
"941",79000031,NA,"vacant","vacant"
"942",79000030,NA,"vacant","vacant"
